id,label,region_id,created_at,updated_at,deleted_at
1,4,1,2022-10-13 13:43:26.863-04,2022-10-28 12:48:36.912-04,
2,5,1,2022-10-13 13:43:26.863-04,2022-10-28 12:48:36.914-04,
3,6,1,2022-10-13 13:43:26.863-04,2022-10-28 12:48:36.916-04,
4,7,1,2022-10-13 13:43:26.863-04,2022-10-28 12:48:36.917-04,
