id,common_name,scientific_name,created_at,updated_at,deleted_at
1,Aster family,Asteraceae,2022-10-06 20:07:41.938-04,2022-11-07 13:32:31.743-05,
2,Borage family,Boraginaceae,2022-10-06 20:07:41.938-04,2022-11-07 13:32:31.747-05,
3,Mustard family,Brassicaceae,2022-10-06 20:07:41.938-04,2022-11-07 13:32:31.749-05,
4,Pea family,Fabaceae,2022-10-06 20:07:41.938-04,2022-11-07 13:32:31.75-05,
5,Grass family,Poaceae,2022-10-06 20:07:41.938-04,2022-11-07 13:32:31.752-05,
6,Buckwheat family,Polygonaceae,2022-10-06 20:07:41.938-04,2022-11-07 13:32:31.754-05,
