id,label,created_at,updated_at,deleted_at
1,Brassica,2022-10-06 19:54:22.761-04,2022-11-07 13:32:31.551-05,
2,Broadleaf,2022-10-06 19:54:22.761-04,2022-11-07 13:32:31.559-05,
3,Grass,2022-10-06 19:54:22.761-04,2022-11-07 13:32:31.562-05,
4,Legume,2022-10-06 19:54:22.761-04,2022-11-07 13:32:31.564-05,
