id,label,region_id,created_at,updated_at,deleted_at
1,4,1,2022-10-31 16:02:53.753-04,2022-11-07 13:32:32.411-05,
2,5,1,2022-10-31 16:02:53.753-04,2022-11-07 13:32:32.415-05,
3,6,1,2022-10-31 16:02:53.753-04,2022-11-07 13:32:32.418-05,
4,7,1,2022-10-31 16:02:53.753-04,2022-11-07 13:32:32.42-05,
